CODSABER,CODPRES,CENTRO_EDUCATIVO,TIPO_INSTITUCION,REGIONAL,PROVINCIA,CANTON,DISTRITO,POBLADO,DIRECCION,LATITUD,LONGITUD
100182-00,0000,CIENTÍFICO COSTARRICENSE DE SAN PEDRO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,MONTES DE OCA,SAN PEDRO,CALLE LA CRUZ,50E Y 15 N DE FACULTAD DE AGRONOMIA DE LA UCR,9.93836787,-84.04763892
100210-00,0000,CIENTÍFICO DE COSTA RICA DE PEREZ ZELEDON -UNA-,PÚBLICO,DIRECCIÓN REGIONAL PÉREZ ZELEDÓN,SAN JOSÉ,PÉREZ ZELEDÓN,SAN ISIDRO DEL GENERAL,SINAI,1 KM NORTE DE LA ESCUELA SINAI,9.37993884,-83.6912943
100219-00,0000,CIENTÍFICO DE COSTA RICA DE ALAJUELA -UNED-,PÚBLICO,DIRECCIÓN REGIONAL ALAJUELA,ALAJUELA,ALAJUELA,ALAJUELA,CRISTO REY,"CALLE 18-20, AVE. CENTRAL FRENTE PLAZA FERIAS",10.01394561,-84.22285168
100258-00,0000,CIENTÍFICO DE COSTA RICA DE SAN RAMON -UCR-,PÚBLICO,DIRECCIÓN REGIONAL OCCIDENTE,ALAJUELA,SAN RAMÓN,ALFARO,SAN PEDRO,1 K. OESTE DEL BANCO NAL. SEDE OCCIDENTE UCR,10.08656159,-84.48064037
100291-00,0000,CIENTÍFICO DE COSTA RICA DE SAN CARLOS -TEC-,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,FLORENCIA,SANTA CLARA,INSTALACIONES DEL ITCR SAN CARLOS,10.36090855,-84.50888468
100299-00,5598,LICEO COQUITAL,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,LOS CHILES,LOS CHILES,COQUITAL,DE LA PULPERIA LA VICTORIA 100 MTRS NORTE,"10,94749694","-84,57734842"
100302-00,0000,CIENTÍFICO DE COSTA RICA DE CARTAGO -TEC-,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,CARTAGO,ORIENTAL,PUEBLA,CAMPUS DEL ITCR,9.85494741,-83.90804722
100355-00,0000,HUMANÍSTICO COSTARRICENSE-CAMPUS HEREDIA,PÚBLICO,DIRECCIÓN REGIONAL HEREDIA ,HEREDIA,HEREDIA,HEREDIA,CORAZÓN DE JESÚS,"150M N DEL OVSICORI, SOBRE CALLE 11",10.00313194,-84.11133113
100427-00,0000,HUMANÍSTICO COSTARRICENSE-CAMPUS SARAPIQUÍ,PÚBLICO,DIRECCIÓN REGIONAL SARAPIQUÍ,HEREDIA,SARAPIQUÍ,LAS HORQUETAS,COLONIA VICTORIA,"DENTRO DE LAS INSTALACIONES DE LA UNA,SARAPIQ",10.31845247,-83.92307422
100430-00,0000,CIENTÍFICO DE COSTA RICA DE GUANACASTE -UCR-,PÚBLICO,DIRECCIÓN REGIONAL LIBERIA,GUANACASTE,LIBERIA,LIBERIA,CAPULÍN,CAMPUS UCR 1KM AL SUR DE LAS BOMBAS DE LIBERI,10.61798788,-85.46107487
100438-00,0000,HUMANÍSTICO COSTARRICENSE-CAMPUS NICOYA,PÚBLICO,DIRECCIÓN REGIONAL NICOYA,GUANACASTE,NICOYA,NICOYA,GRANJA,75 M SUR DEL MOPT,10.13426602,-85.44673075
100462-00,0000,CIENTÍFICO DE COSTA RICA DE PUNTARENAS -UCR-,PÚBLICO,DIRECCIÓN REGIONAL PUNTARENAS,PUNTARENAS,PUNTARENAS,PUNTARENAS,COCAL,INSTALACIONES UCR SEDE DEL PACIFICO,9.98132252,-84.8107911
100490-00,0000,HUMANÍSTICO COSTARRICENSE-SEDE COTO,PÚBLICO,DIRECCIÓN REGIONAL COTO,PUNTARENAS,CORREDORES,CANOAS,VERACRUZ,"EN LAS INSTALACIONES DE LA UNA, VERACRUZ",8.57342633,-82.87151284
100497-00,0000,CIENTÍFICO DE COSTA RICA DEL ATLANTICO -UNED-,PÚBLICO,DIRECCIÓN REGIONAL LIMÓN,LIMÓN,LIMÓN,LIMÓN,LA COLINA,"INSTALACIONES DE LA UNED, SOBRE LA RUTA 32",9.98344162,-83.07029892
100516-00,0304,J.N. ANDRÉS BELLO LÓPEZ,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,SANTA ANA,SANTA ANA,COSTADO SUR DEL BANCO DE COSTA RICA,9.93279618,-84.18219252
100517-00,0306,EL CARMEN,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN ANTONIO,EL CARMEN,"25 SUR DE IGLESIA CATOLICA, EL CARMEN","9,8967534","-84,14121184"
100518-00,0307,DAVID MARÍN HIDALGO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN ANTONIO,BEBEDERO,200 SUR DE LA IGLESIA CATOLICA,"9,90327017","-84,15965354"
100519-00,0308,BELLO HORIZONTE,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN RAFAEL,BELO HORIZONTE,75 METROS SUROESTE DEL TEMPLO CATOLICO,"9,91935087","-84,13000764"
